,precision,recall,f1-score,support
blues,0.7916666666666666,0.95,0.8636363636363636,20.0
classical,1.0,1.0,1.0,20.0
country,0.75,0.6,0.6666666666666666,20.0
disco,0.9,0.9,0.9,20.0
hiphop,0.6785714285714286,0.95,0.7916666666666666,20.0
jazz,0.8888888888888888,0.8421052631578947,0.8648648648648649,19.0
metal,0.9090909090909091,1.0,0.9523809523809523,20.0
pop,0.75,0.9,0.8181818181818182,20.0
reggae,0.9166666666666666,0.55,0.6875,20.0
rock,0.6666666666666666,0.5,0.5714285714285714,20.0
accuracy,0.8190954773869347,0.8190954773869347,0.8190954773869347,0.8190954773869347
macro avg,0.8251551226551227,0.8192105263157895,0.8116325903825905,199.0
weighted avg,0.8248348524730434,0.8190954773869347,0.8113650915158453,199.0
